n,max_steps,field_width,field_height,field_depth,r_o,r_a,group_dir,group_rho
20.0,3997.0,24.0,12.0,6.0,7.0,7.0,0.8468913470389159,0.2496813467208268
20.0,3926.0,24.0,12.0,6.0,11.0,3.0,0.9324057720134192,0.17085132843757908
20.0,3963.0,24.0,12.0,6.0,3.0,11.0,0.15133732488306345,0.6350773121502132
20.0,3913.0,24.0,12.0,6.0,0.0,5.0,0.2889676083513311,0.13920352408944744
20.0,3924.0,24.0,12.0,6.0,14.0,9.0,0.8625564055005028,0.0657112527439543
20.0,3976.0,24.0,12.0,6.0,10.0,0.0,0.8030821059881215,0.06957824630727398
20.0,3996.0,24.0,12.0,6.0,4.0,14.0,0.6805777165306965,0.19808567141088115
20.0,3993.0,24.0,12.0,6.0,1.0,6.0,0.26356217796985043,0.259589758570761
20.0,3959.0,24.0,12.0,6.0,13.0,8.0,0.4653420748075893,0.2169050562018815
20.0,3905.0,24.0,12.0,6.0,12.0,13.0,0.9704493474487101,0.10135744241904891
20.0,3901.0,24.0,12.0,6.0,2.0,1.0,0.2441619090832834,0.3594119003848297
20.0,3973.0,24.0,12.0,6.0,6.0,2.0,0.3997188511262365,0.11976503259772857
20.0,3918.0,24.0,12.0,6.0,8.0,12.0,0.9676488219482741,0.04343705373132859
20.0,3905.0,24.0,12.0,6.0,9.0,10.0,0.9442680051320108,0.13410002425333786
20.0,3978.0,24.0,12.0,6.0,5.0,4.0,0.9099665914765891,0.2266802234864273
12.0,3921.0,24.0,12.0,6.0,7.0,7.0,0.9976114391374922,0.17779316134835907
12.0,3961.0,24.0,12.0,6.0,11.0,3.0,0.99436014340412,0.049087235562866476
12.0,3900.0,24.0,12.0,6.0,3.0,11.0,0.59097859756631,0.4320689072717998
12.0,3968.0,24.0,12.0,6.0,0.0,5.0,0.5111412914798203,0.09387725167056767
12.0,3916.0,24.0,12.0,6.0,14.0,9.0,0.6590186903971119,0.10374507158467212
12.0,3966.0,24.0,12.0,6.0,10.0,0.0,0.5561460914364199,0.102645295061436
12.0,3937.0,24.0,12.0,6.0,4.0,14.0,0.5354443793114495,0.38998811027090025
12.0,3978.0,24.0,12.0,6.0,1.0,6.0,0.4411160031472779,0.277512681421521
12.0,3922.0,24.0,12.0,6.0,13.0,8.0,0.8425669914277721,0.14400578004472855
12.0,3947.0,24.0,12.0,6.0,12.0,13.0,0.8608119944081237,0.1607997740109089
12.0,3911.0,24.0,12.0,6.0,2.0,1.0,0.23974647184943876,0.30473190983081305
12.0,3938.0,24.0,12.0,6.0,6.0,2.0,0.8082876997738814,0.19284847661231952
12.0,3935.0,24.0,12.0,6.0,8.0,12.0,0.9991119261550326,0.04516568082501341
12.0,3937.0,24.0,12.0,6.0,9.0,10.0,0.84334907701315,0.10816804010824231
12.0,3907.0,24.0,12.0,6.0,5.0,4.0,0.7412664103101898,0.2872134647102526
10.0,3991.0,24.0,12.0,6.0,7.0,7.0,0.5997250938448879,0.27988986177278863
10.0,3936.0,24.0,12.0,6.0,11.0,3.0,0.6169070785194599,0.4469585404919698
10.0,3977.0,24.0,12.0,6.0,3.0,11.0,0.3378597412529231,0.317345720100586
10.0,3915.0,24.0,12.0,6.0,0.0,5.0,0.2634982487229527,0.24261365155316378
10.0,3969.0,24.0,12.0,6.0,14.0,9.0,0.5718357466157137,0.07494471468845097
10.0,3994.0,24.0,12.0,6.0,10.0,0.0,0.7595741565416493,0.17886840386310218
10.0,3991.0,24.0,12.0,6.0,4.0,14.0,0.6531295281185084,0.4606804946471056
10.0,3953.0,24.0,12.0,6.0,1.0,6.0,0.36697183764944163,0.23435569870079523
10.0,3917.0,24.0,12.0,6.0,13.0,8.0,0.9931942663353969,0.08771184444467653
10.0,3971.0,24.0,12.0,6.0,12.0,13.0,0.7090853109467645,0.23572561138030707
10.0,3968.0,24.0,12.0,6.0,2.0,1.0,0.5606210856736623,0.19222304431963794
10.0,3934.0,24.0,12.0,6.0,6.0,2.0,0.5826379142828347,0.1984438291921627
10.0,3986.0,24.0,12.0,6.0,8.0,12.0,0.8434952356361028,0.3973574010843114
10.0,3973.0,24.0,12.0,6.0,9.0,10.0,0.47989759019606504,0.3631806457288826
10.0,3903.0,24.0,12.0,6.0,5.0,4.0,0.9323740710252137,0.1806006764287468
20.0,3985.0,30.0,12.0,12.0,7.0,7.0,0.9473598408411859,0.2072607046088804
20.0,3956.0,30.0,12.0,12.0,11.0,3.0,0.8393876131986115,0.11963021143556576
20.0,3931.0,30.0,12.0,12.0,3.0,11.0,0.30193164857049226,0.4619705266033522
20.0,3958.0,30.0,12.0,12.0,0.0,5.0,0.299725335702012,0.2407045435075002
20.0,3971.0,30.0,12.0,12.0,14.0,9.0,0.6476183264974908,0.3617357169270209
20.0,3938.0,30.0,12.0,12.0,10.0,0.0,0.8756910667052603,0.10054953848567116
20.0,3909.0,30.0,12.0,12.0,4.0,14.0,0.8504843502175247,0.29179306160702
20.0,3918.0,30.0,12.0,12.0,1.0,6.0,0.33917125619880906,0.20304488669370988
20.0,3990.0,30.0,12.0,12.0,13.0,8.0,0.7943872910844165,0.233408498128634
20.0,3973.0,30.0,12.0,12.0,12.0,13.0,0.9746369587658416,0.0990523031675068
20.0,3931.0,30.0,12.0,12.0,2.0,1.0,0.345556164469463,0.170014391488138
20.0,3978.0,30.0,12.0,12.0,6.0,2.0,0.6340676583106314,0.24994110454173027
20.0,3924.0,30.0,12.0,12.0,8.0,12.0,0.7656633373372297,0.21648358889894764
20.0,3903.0,30.0,12.0,12.0,9.0,10.0,0.8717231952591897,0.15731402277479853
20.0,3979.0,30.0,12.0,12.0,5.0,4.0,0.7134673182657844,0.4491929782193275
12.0,3906.0,30.0,12.0,12.0,7.0,7.0,0.9282638708857595,0.0947274238672015
12.0,3987.0,30.0,12.0,12.0,11.0,3.0,0.48305839273191115,0.4420760234701984
12.0,3944.0,30.0,12.0,12.0,3.0,11.0,0.6533775999119504,0.5461707588873219
12.0,3990.0,30.0,12.0,12.0,0.0,5.0,0.24709745959585952,0.16038877395046605
12.0,3937.0,30.0,12.0,12.0,14.0,9.0,0.9973419033364755,0.05067008173613894
12.0,3904.0,30.0,12.0,12.0,10.0,0.0,0.830711795596005,0.33707166963091084
12.0,3919.0,30.0,12.0,12.0,4.0,14.0,0.5627204252905978,0.509546897176921
12.0,3992.0,30.0,12.0,12.0,1.0,6.0,0.5981283451898783,0.35446844776349967
12.0,3902.0,30.0,12.0,12.0,13.0,8.0,0.8816466242180904,0.1755773659374916
12.0,3991.0,30.0,12.0,12.0,12.0,13.0,0.7799810605403278,0.3554879555553492
12.0,3991.0,30.0,12.0,12.0,2.0,1.0,0.16040367467940378,0.24305091236196394
12.0,3967.0,30.0,12.0,12.0,6.0,2.0,0.8520800896217806,0.33229840286629414
12.0,3995.0,30.0,12.0,12.0,8.0,12.0,0.7931150211861001,0.11640931123838398
12.0,3948.0,30.0,12.0,12.0,9.0,10.0,0.771526568619146,0.3608305968448045
12.0,3920.0,30.0,12.0,12.0,5.0,4.0,0.8835814839451989,0.24954100614570662
10.0,3994.0,30.0,12.0,12.0,7.0,7.0,0.9887439229662782,0.05435632420449906
10.0,3964.0,30.0,12.0,12.0,11.0,3.0,0.9878505586537362,0.11571030553016329
10.0,3905.0,30.0,12.0,12.0,3.0,11.0,0.7877245437473275,0.457137127059324
10.0,3927.0,30.0,12.0,12.0,0.0,5.0,0.26108376341599104,0.2233817647070906
10.0,3995.0,30.0,12.0,12.0,14.0,9.0,0.9308468227535851,0.134129442268404
10.0,3908.0,30.0,12.0,12.0,10.0,0.0,0.5162266397659205,0.1923604586210106
10.0,3905.0,30.0,12.0,12.0,4.0,14.0,0.6880863614783839,0.4915055319618694
10.0,3910.0,30.0,12.0,12.0,1.0,6.0,0.30896928421293074,0.21215036890205
10.0,3932.0,30.0,12.0,12.0,13.0,8.0,0.6812974205561987,0.361379114581261
10.0,3929.0,30.0,12.0,12.0,12.0,13.0,0.998273224609148,0.14254341184798783
10.0,3952.0,30.0,12.0,12.0,2.0,1.0,0.20561825351855617,0.2663072303925068
10.0,3997.0,30.0,12.0,12.0,6.0,2.0,0.761408182387987,0.28105327801668023
10.0,3904.0,30.0,12.0,12.0,8.0,12.0,0.8434630977344464,0.16161461944955027
10.0,3941.0,30.0,12.0,12.0,9.0,10.0,0.9404501660844715,0.07590411153253893
10.0,3949.0,30.0,12.0,12.0,5.0,4.0,0.9364775946619621,0.21359858484305932
