n,max_steps,field_width,field_height,field_depth,group_dir,group_rho
20.0,3997.0,24.0,12.0,6.0,0.6236378339954662,0.1619986206570437
12.0,3948.0,24.0,12.0,6.0,0.6844444694126426,0.5243334256333744
10.0,3974.0,24.0,12.0,6.0,0.9815135190634848,0.052487037750741206
20.0,3975.0,30.0,12.0,12.0,0.8909133056425814,0.2170659812779241
12.0,3961.0,30.0,12.0,12.0,0.8025460620177025,0.11937726984665194
10.0,3930.0,30.0,12.0,12.0,0.9924336896369427,0.1156995869995332
20.0,3963.0,24.0,12.0,6.0,0.7655326920530692,0.18324111838575902
12.0,3944.0,24.0,12.0,6.0,0.9174735572853373,0.17438254638718587
10.0,3907.0,24.0,12.0,6.0,0.9959906350406943,0.12913591958328757
20.0,3971.0,30.0,12.0,12.0,0.8674184044088677,0.051011826634230276
12.0,3963.0,30.0,12.0,12.0,0.8885878486558426,0.15648530534679495
10.0,3967.0,30.0,12.0,12.0,0.8015653104929343,0.281308649612145
20.0,3913.0,24.0,12.0,6.0,0.7574452088853062,0.2255265919957949
12.0,3991.0,24.0,12.0,6.0,0.8789970975736131,0.11283624378936684
10.0,3911.0,24.0,12.0,6.0,0.7139247269313723,0.369313903626731
20.0,3924.0,30.0,12.0,12.0,0.7996739274336854,0.15357722565376317
12.0,3944.0,30.0,12.0,12.0,0.8760194115940702,0.27409278690848526
10.0,3947.0,30.0,12.0,12.0,0.4382647030238071,0.22077780120249568
